MMPID	CHR	START	STOP	SAMPLE_ID	FC_X	FC_H3	FC_K27	ABS_K4	GENE	FC_EXPRESSION
2	chr1	11093	11785	DL188	0	0.824	1.387	11.324	FAM138A	0
2	chr1	11093	11785	DL3A538	0.99	0.408	1.862	14.398	WASH7P	0
2	chr1	11093	11785	DL3A193	0	0.522	0	0	FAM138A	0.446
2	chr1	11093	11785	DL487	0.74	0	0	0	WASH7P	0
2	chr1	11093	11785	DL252	1.25	1.280	0.479	5.203	FAM138A	0.212
2	chr1	11093	11785	DL135	0.85	1.221	0.792	6.749	FAM138A	0.491
2	chr1	11093	11785	DL397	0.88	1.221	0	0	FAM138A	0.484
2	chr1	11093	11785	DL166	0	1.389	0	18.878	FAM138A	0.211
2	chr1	11093	11785	DL551	2.66	1.608	1.686	21.055	FAM138A	0.551
2	chr1	11093	11785	DL191	0	2.125	0	0	FAM138A	1.235
2	chr1	11093	11785	DL3B538	0	0	0	0	FAM138A	0.357
2	chr1	11093	11785	DL237	1.38	2.169	1.333	16.352	FAM138A	0.207
2	chr1	11093	11785	DL140	0	0.954	1.572	8.658	OR4G4P	0
2	chr1	11093	11785	DL273	0.99	0.877	0.844	3.672	FAM138A	0
2	chr1	11093	11785	DL188	0	0.824	1.387	11.324	OR4G4P	0
2	chr1	11093	11785	DL3A538	0.99	0.408	1.862	14.398	FAM138A	0
2	chr1	11093	11785	DL3A193	0	0.522	0	0	OR4G4P	0
2	chr1	11093	11785	DL487	0.74	0	0	0	FAM138A	0
2	chr1	11093	11785	DL252	1.25	1.280	0.479	5.203	OR4G4P	0
2	chr1	11093	11785	DL135	0.85	1.221	0.792	6.749	OR4G4P	0
2	chr1	11093	11785	DL397	0.88	1.221	0	0	OR4G4P	0
2	chr1	11093	11785	DL166	0	1.389	0	18.878	OR4G4P	0
2	chr1	11093	11785	DL551	2.66	1.608	1.686	21.055	OR4G4P	0
2	chr1	11093	11785	DL191	0	2.125	0	0	OR4G4P	0
2	chr1	11093	11785	DL3B538	0	0	0	0	OR4G4P	0
2	chr1	11093	11785	DL237	1.38	2.169	1.333	16.352	OR4G4P	0
2	chr1	11093	11785	DL140	0	0.954	1.572	8.658	OR4G11P	0
2	chr1	11093	11785	DL273	0.99	0.877	0.844	3.672	OR4G4P	0
2	chr1	11093	11785	DL188	0	0.824	1.387	11.324	OR4G11P	0
2	chr1	11093	11785	DL3A538	0.99	0.408	1.862	14.398	OR4G4P	0
2	chr1	11093	11785	DL3A193	0	0.522	0	0	OR4G11P	0
2	chr1	11093	11785	DL487	0.74	0	0	0	OR4G4P	0
2	chr1	11093	11785	DL252	1.25	1.280	0.479	5.203	OR4G11P	0
2	chr1	11093	11785	DL135	0.85	1.221	0.792	6.749	OR4G11P	0
2	chr1	11093	11785	DL397	0.88	1.221	0	0	OR4G11P	0
2	chr1	11093	11785	DL166	0	1.389	0	18.878	OR4G11P	0
2	chr1	11093	11785	DL551	2.66	1.608	1.686	21.055	OR4G11P	0
2	chr1	11093	11785	DL191	0	2.125	0	0	OR4G11P	0
2	chr1	11093	11785	DL3B538	0	0	0	0	OR4G11P	0
2	chr1	11093	11785	DL237	1.38	2.169	1.333	16.352	OR4G11P	0
2	chr1	11093	11785	DL140	0	0.954	1.572	8.658	OR4F5	0
2	chr1	11093	11785	DL273	0.99	0.877	0.844	3.672	OR4G11P	0
2	chr1	11093	11785	DL188	0	0.824	1.387	11.324	OR4F5	0
2	chr1	11093	11785	DL3A538	0.99	0.408	1.862	14.398	OR4G11P	0
2	chr1	11093	11785	DL3A193	0	0.522	0	0	OR4F5	0
2	chr1	11093	11785	DL487	0.74	0	0	0	OR4G11P	0
2	chr1	11093	11785	DL252	1.25	1.280	0.479	5.203	OR4F5	0
2	chr1	11093	11785	DL135	0.85	1.221	0.792	6.749	OR4F5	0
2	chr1	11093	11785	DL397	0.88	1.221	0	0	OR4F5	0
2	chr1	11093	11785	DL166	0	1.389	0	18.878	OR4F5	0
2	chr1	11093	11785	DL551	2.66	1.608	1.686	21.055	OR4F5	0
2	chr1	11093	11785	DL191	0	2.125	0	0	OR4F5	0
2	chr1	11093	11785	DL3B538	0	0	0	0	OR4F5	0
2	chr1	11093	11785	DL237	1.38	2.169	1.333	16.352	OR4F5	0
2	chr1	11093	11785	DL140	0	0.954	1.572	8.658	RP11-34P13.8	0
2	chr1	11093	11785	DL273	0.99	0.877	0.844	3.672	OR4F5	0
2	chr1	11093	11785	DL188	0	0.824	1.387	11.324	RP11-34P13.8	0
2	chr1	11093	11785	DL3A538	0.99	0.408	1.862	14.398	OR4F5	0
2	chr1	11093	11785	DL3A193	0	0.522	0	0	RP11-34P13.8	0
2	chr1	11093	11785	DL487	0.74	0	0	0	OR4F5	0
2	chr1	11093	11785	DL252	1.25	1.280	0.479	5.203	RP11-34P13.8	0
2	chr1	11093	11785	DL135	0.85	1.221	0.792	6.749	RP11-34P13.8	0
2	chr1	11093	11785	DL397	0.88	1.221	0	0	RP11-34P13.8	0
2	chr1	11093	11785	DL166	0	1.389	0	18.878	RP11-34P13.8	0
2	chr1	11093	11785	DL551	2.66	1.608	1.686	21.055	RP11-34P13.8	0
2	chr1	11093	11785	DL191	0	2.125	0	0	RP11-34P13.8	0
2	chr1	11093	11785	DL3B538	0	0	0	0	RP11-34P13.8	0
2	chr1	11093	11785	DL237	1.38	2.169	1.333	16.352	RP11-34P13.8	0
2	chr1	11093	11785	DL140	0	0.954	1.572	8.658	CICP27	0
2	chr1	11093	11785	DL273	0.99	0.877	0.844	3.672	RP11-34P13.8	0
2	chr1	11093	11785	DL188	0	0.824	1.387	11.324	CICP27	0
2	chr1	11093	11785	DL3A538	0.99	0.408	1.862	14.398	RP11-34P13.8	0
2	chr1	11093	11785	DL3A193	0	0.522	0	0	CICP27	0
2	chr1	11093	11785	DL487	0.74	0	0	0	RP11-34P13.8	0
2	chr1	11093	11785	DL252	1.25	1.280	0.479	5.203	CICP27	0
2	chr1	11093	11785	DL135	0.85	1.221	0.792	6.749	CICP27	0
2	chr1	11093	11785	DL397	0.88	1.221	0	0	CICP27	0
2	chr1	11093	11785	DL166	0	1.389	0	18.878	CICP27	0
2	chr1	11093	11785	DL551	2.66	1.608	1.686	21.055	CICP27	0
2	chr1	11093	11785	DL191	0	2.125	0	0	CICP27	0
2	chr1	11093	11785	DL3B538	0	0	0	0	CICP27	0
2	chr1	11093	11785	DL237	1.38	2.169	1.333	16.352	CICP27	0
2	chr1	11093	11785	DL140	0	0.954	1.572	8.658	RP11-34P13.7	0
2	chr1	11093	11785	DL273	0.99	0.877	0.844	3.672	CICP27	0
2	chr1	11093	11785	DL188	0	0.824	1.387	11.324	RP11-34P13.7	0
2	chr1	11093	11785	DL3A538	0.99	0.408	1.862	14.398	CICP27	0
2	chr1	11093	11785	DL3A193	0	0.522	0	0	RP11-34P13.7	0
2	chr1	11093	11785	DL487	0.74	0	0	0	CICP27	0
2	chr1	11093	11785	DL252	1.25	1.280	0.479	5.203	RP11-34P13.7	0
2	chr1	11093	11785	DL135	0.85	1.221	0.792	6.749	RP11-34P13.7	0
2	chr1	11093	11785	DL397	0.88	1.221	0	0	RP11-34P13.7	0
2	chr1	11093	11785	DL166	0	1.389	0	18.878	RP11-34P13.7	0
2	chr1	11093	11785	DL551	2.66	1.608	1.686	21.055	RP11-34P13.7	0
2	chr1	11093	11785	DL191	0	2.125	0	0	RP11-34P13.7	0
2	chr1	11093	11785	DL3B538	0	0	0	0	RP11-34P13.7	0
2	chr1	11093	11785	DL237	1.38	2.169	1.333	16.352	RP11-34P13.7	0
2	chr1	11093	11785	DL140	0	0.954	1.572	8.658	RP11-34P13.15	0
2	chr1	11093	11785	DL273	0.99	0.877	0.844	3.672	RP11-34P13.7	0
2	chr1	11093	11785	DL188	0	0.824	1.387	11.324	RP11-34P13.15	0
2	chr1	11093	11785	DL3A538	0.99	0.408	1.862	14.398	RP11-34P13.7	0
2	chr1	11093	11785	DL3A193	0	0.522	0	0	RP11-34P13.15	0
2	chr1	11093	11785	DL487	0.74	0	0	0	RP11-34P13.7	0
2	chr1	11093	11785	DL252	1.25	1.280	0.479	5.203	RP11-34P13.15	0
2	chr1	11093	11785	DL135	0.85	1.221	0.792	6.749	RP11-34P13.15	0
2	chr1	11093	11785	DL397	0.88	1.221	0	0	RP11-34P13.15	0
2	chr1	11093	11785	DL166	0	1.389	0	18.878	RP11-34P13.15	0
2	chr1	11093	11785	DL551	2.66	1.608	1.686	21.055	RP11-34P13.15	0
2	chr1	11093	11785	DL191	0	2.125	0	0	RP11-34P13.15	0
2	chr1	11093	11785	DL3B538	0	0	0	0	RP11-34P13.15	0
2	chr1	11093	11785	DL237	1.38	2.169	1.333	16.352	RP11-34P13.15	0
2	chr1	11093	11785	DL140	0	0.954	1.572	8.658	RP11-34P13.16	0
2	chr1	11093	11785	DL273	0.99	0.877	0.844	3.672	RP11-34P13.15	0
2	chr1	11093	11785	DL188	0	0.824	1.387	11.324	RP11-34P13.16	0
2	chr1	11093	11785	DL3A538	0.99	0.408	1.862	14.398	RP11-34P13.15	0
2	chr1	11093	11785	DL3A193	0	0.522	0	0	RP11-34P13.16	0
2	chr1	11093	11785	DL487	0.74	0	0	0	RP11-34P13.15	0
2	chr1	11093	11785	DL252	1.25	1.280	0.479	5.203	RP11-34P13.16	0
2	chr1	11093	11785	DL135	0.85	1.221	0.792	6.749	RP11-34P13.16	0
2	chr1	11093	11785	DL397	0.88	1.221	0	0	RP11-34P13.16	0
2	chr1	11093	11785	DL166	0	1.389	0	18.878	RP11-34P13.16	0
2	chr1	11093	11785	DL551	2.66	1.608	1.686	21.055	RP11-34P13.16	0
2	chr1	11093	11785	DL191	0	2.125	0	0	RP11-34P13.16	0
2	chr1	11093	11785	DL3B538	0	0	0	0	RP11-34P13.16	0
2	chr1	11093	11785	DL237	1.38	2.169	1.333	16.352	RP11-34P13.16	0
2	chr1	11093	11785	DL140	0	0.954	1.572	8.658	AL627309.1	0
2	chr1	11093	11785	DL273	0.99	0.877	0.844	3.672	RP11-34P13.16	0
2	chr1	11093	11785	DL188	0	0.824	1.387	11.324	AL627309.1	0
2	chr1	11093	11785	DL3A538	0.99	0.408	1.862	14.398	RP11-34P13.16	0
2	chr1	11093	11785	DL3A193	0	0.522	0	0	AL627309.1	0
2	chr1	11093	11785	DL252	1.25	1.280	0.479	5.203	AL627309.1	0
2	chr1	11093	11785	DL135	0.85	1.221	0.792	6.749	AL627309.1	0
2	chr1	11093	11785	DL397	0.88	1.221	0	0	AL627309.1	0
2	chr1	11093	11785	DL166	0	1.389	0	18.878	AL627309.1	0
2	chr1	11093	11785	DL551	2.66	1.608	1.686	21.055	AL627309.1	0
2	chr1	11093	11785	DL191	0	2.125	0	0	AL627309.1	0
2	chr1	11093	11785	DL3B538	0	0	0	0	AL627309.1	0
2	chr1	11093	11785	DL237	1.38	2.169	1.333	16.352	AL627309.1	0
2	chr1	11093	11785	DL140	0	0.954	1.572	8.658	RP11-34P13.14	0
2	chr1	11093	11785	DL273	0.99	0.877	0.844	3.672	AL627309.1	0
2	chr1	11093	11785	DL188	0	0.824	1.387	11.324	RP11-34P13.14	0
2	chr1	11093	11785	DL3A538	0.99	0.408	1.862	14.398	AL627309.1	0
2	chr1	11093	11785	DL3A193	0	0.522	0	0	RP11-34P13.14	0
2	chr1	11093	11785	DL487	0.74	0	0	0	AL627309.1	0
2	chr1	11093	11785	DL252	1.25	1.280	0.479	5.203	RP11-34P13.14	0
2	chr1	11093	11785	DL135	0.85	1.221	0.792	6.749	RP11-34P13.14	0
2	chr1	11093	11785	DL397	0.88	1.221	0	0	RP11-34P13.14	0
2	chr1	11093	11785	DL166	0	1.389	0	18.878	RP11-34P13.14	0
2	chr1	11093	11785	DL551	2.66	1.608	1.686	21.055	RP11-34P13.14	0
2	chr1	11093	11785	DL191	0	2.125	0	0	RP11-34P13.14	0
2	chr1	11093	11785	DL237	1.38	2.169	1.333	16.352	RP11-34P13.14	0
2	chr1	11093	11785	DL3B538	0	0	0	0	RP11-34P13.14	0
2	chr1	11093	11785	DL273	0.99	0.877	0.844	3.672	RP11-34P13.14	0
2	chr1	11093	11785	DL140	0	0.954	1.572	8.658	Y_RNA	0
2	chr1	11093	11785	DL3A538	0.99	0.408	1.862	14.398	RP11-34P13.14	0
2	chr1	11093	11785	DL188	0	0.824	1.387	11.324	Y_RNA	0
2	chr1	11093	11785	DL487	0.74	0	0	0	RP11-34P13.14	0
2	chr1	11093	11785	DL3A193	0	0.522	0	0	Y_RNA	0
2	chr1	11093	11785	DL135	0.85	1.221	0.792	6.749	Y_RNA	0
2	chr1	11093	11785	DL252	1.25	1.280	0.479	5.203	Y_RNA	0
2	chr1	11093	11785	DL166	0	1.389	0	18.878	Y_RNA	0
2	chr1	11093	11785	DL397	0.88	1.221	0	0	Y_RNA	0
2	chr1	11093	11785	DL191	0	2.125	0	0	Y_RNA	0
2	chr1	11093	11785	DL551	2.66	1.608	1.686	21.055	Y_RNA	0
2	chr1	11093	11785	DL237	1.38	2.169	1.333	16.352	Y_RNA	0
2	chr1	11093	11785	DL3B538	0	0	0	0	Y_RNA	0
2	chr1	11093	11785	DL273	0.99	0.877	0.844	3.672	Y_RNA	0
2	chr1	11093	11785	DL140	0	0.954	1.572	8.658	RNU6-1100P	0
2	chr1	11093	11785	DL3A538	0.99	0.408	1.862	14.398	Y_RNA	0
2	chr1	11093	11785	DL188	0	0.824	1.387	11.324	RNU6-1100P	0
2	chr1	11093	11785	DL487	0.74	0	0	0	Y_RNA	0
2	chr1	11093	11785	DL3A193	0	0.522	0	0	RNU6-1100P	0
2	chr1	11093	11785	DL135	0.85	1.221	0.792	6.749	RNU6-1100P	0
2	chr1	11093	11785	DL252	1.25	1.280	0.479	5.203	RNU6-1100P	0
2	chr1	11093	11785	DL166	0	1.389	0	18.878	RNU6-1100P	0
2	chr1	11093	11785	DL397	0.88	1.221	0	0	RNU6-1100P	0
2	chr1	11093	11785	DL551	2.66	1.608	1.686	21.055	RNU6-1100P	0
2	chr1	11093	11785	DL191	0	2.125	0	0	RNU6-1100P	0
2	chr1	11093	11785	DL3B538	0	0	0	0	RNU6-1100P	0
2	chr1	11093	11785	DL237	1.38	2.169	1.333	16.352	RNU6-1100P	0
2	chr1	11093	11785	DL140	0	0.954	1.572	8.658	RP11-34P13.9	0
2	chr1	11093	11785	DL273	0.99	0.877	0.844	3.672	RNU6-1100P	0
2	chr1	11093	11785	DL188	0	0.824	1.387	11.324	RP11-34P13.9	0
2	chr1	11093	11785	DL3A538	0.99	0.408	1.862	14.398	RNU6-1100P	0
2	chr1	11093	11785	DL3A193	0	0.522	0	0	RP11-34P13.9	0
2	chr1	11093	11785	DL487	0.74	0	0	0	RNU6-1100P	0
2	chr1	11093	11785	DL252	1.25	1.280	0.479	5.203	RP11-34P13.9	0
2	chr1	11093	11785	DL135	0.85	1.221	0.792	6.749	RP11-34P13.9	0
2	chr1	11093	11785	DL397	0.88	1.221	0	0	RP11-34P13.9	0
2	chr1	11093	11785	DL166	0	1.389	0	18.878	RP11-34P13.9	0
2	chr1	11093	11785	DL191	0	2.125	0	0	RP11-34P13.9	0
2	chr1	11093	11785	DL551	2.66	1.608	1.686	21.055	RP11-34P13.9	0
2	chr1	11093	11785	DL3B538	0	0	0	0	RP11-34P13.9	0
2	chr1	11093	11785	DL237	1.38	2.169	1.333	16.352	RP11-34P13.9	0
2	chr1	11093	11785	DL140	0	0.954	1.572	8.658	RP11-34P13.13	0
2	chr1	11093	11785	DL273	0.99	0.877	0.844	3.672	RP11-34P13.9	0
2	chr1	11093	11785	DL188	0	0.824	1.387	11.324	RP11-34P13.13	0
2	chr1	11093	11785	DL3A538	0.99	0.408	1.862	14.398	RP11-34P13.9	0
2	chr1	11093	11785	DL3A193	0	0.522	0	0	RP11-34P13.13	0
2	chr1	11093	11785	DL487	0.74	0	0	0	RP11-34P13.9	0
2	chr1	11093	11785	DL252	1.25	1.280	0.479	5.203	RP11-34P13.13	0
2	chr1	11093	11785	DL135	0.85	1.221	0.792	6.749	RP11-34P13.13	0
2	chr1	11093	11785	DL397	0.88	1.221	0	0	RP11-34P13.13	0
2	chr1	11093	11785	DL166	0	1.389	0	18.878	RP11-34P13.13	0
2	chr1	11093	11785	DL551	2.66	1.608	1.686	21.055	RP11-34P13.13	0
2	chr1	11093	11785	DL191	0	2.125	0	0	RP11-34P13.13	0
2	chr1	11093	11785	DL3B538	0	0	0	0	RP11-34P13.13	0
2	chr1	11093	11785	DL237	1.38	2.169	1.333	16.352	RP11-34P13.13	0
2	chr1	11093	11785	DL140	0	0.954	1.572	8.658	AP006222.1	0
2	chr1	11093	11785	DL273	0.99	0.877	0.844	3.672	RP11-34P13.13	0
2	chr1	11093	11785	DL188	0	0.824	1.387	11.324	AP006222.1	0
2	chr1	11093	11785	DL3A538	0.99	0.408	1.862	14.398	RP11-34P13.13	0
2	chr1	11093	11785	DL3A193	0	0.522	0	0	AP006222.1	0
2	chr1	11093	11785	DL487	0.74	0	0	0	RP11-34P13.13	0
2	chr1	11093	11785	DL252	1.25	1.280	0.479	5.203	AP006222.1	0
2	chr1	11093	11785	DL135	0.85	1.221	0.792	6.749	AP006222.1	0
2	chr1	11093	11785	DL397	0.88	1.221	0	0	AP006222.1	0
2	chr1	11093	11785	DL166	0	1.389	0	18.878	AP006222.1	0
2	chr1	11093	11785	DL551	2.66	1.608	1.686	21.055	AP006222.1	0
2	chr1	11093	11785	DL191	0	2.125	0	0	AP006222.1	0
2	chr1	11093	11785	DL3B538	0	0	0	0	AP006222.1	0
2	chr1	11093	11785	DL237	1.38	2.169	1.333	16.352	AP006222.1	0
2	chr1	11093	11785	DL140	0	0.954	1.572	8.658	AP006222.2	0
2	chr1	11093	11785	DL273	0.99	0.877	0.844	3.672	AP006222.1	0
2	chr1	11093	11785	DL188	0	0.824	1.387	11.324	AP006222.2	0
2	chr1	11093	11785	DL3A538	0.99	0.408	1.862	14.398	AP006222.1	0
2	chr1	11093	11785	DL3A193	0	0.522	0	0	AP006222.2	0
2	chr1	11093	11785	DL487	0.74	0	0	0	AP006222.1	0
2	chr1	11093	11785	DL252	1.25	1.280	0.479	5.203	AP006222.2	0
2	chr1	11093	11785	DL135	0.85	1.221	0.792	6.749	AP006222.2	0
2	chr1	11093	11785	DL397	0.88	1.221	0	0	AP006222.2	0
2	chr1	11093	11785	DL166	0	1.389	0	18.878	AP006222.2	0
2	chr1	11093	11785	DL551	2.66	1.608	1.686	21.055	AP006222.2	0
2	chr1	11093	11785	DL191	0	2.125	0	0	AP006222.2	0
2	chr1	11093	11785	DL3B538	0	0	0	0	AP006222.2	0
2	chr1	11093	11785	DL237	1.38	2.169	1.333	16.352	AP006222.2	0
2	chr1	11093	11785	DL140	0	0.954	1.572	8.658	RP4-669L17.10	0
2	chr1	11093	11785	DL273	0.99	0.877	0.844	3.672	AP006222.2	0
2	chr1	11093	11785	DL188	0	0.824	1.387	11.324	RP4-669L17.10	0
2	chr1	11093	11785	DL3A193	0	0.522	0	0	RP4-669L17.10	0
2	chr1	11093	11785	DL3A538	0.99	0.408	1.862	14.398	AP006222.2	0
2	chr1	11093	11785	DL252	1.25	1.280	0.479	5.203	RP4-669L17.10	0
2	chr1	11093	11785	DL487	0.74	0	0	0	AP006222.2	0
2	chr1	11093	11785	DL397	0.88	1.221	0	0	RP4-669L17.10	0
2	chr1	11093	11785	DL135	0.85	1.221	0.792	6.749	RP4-669L17.10	0
2	chr1	11093	11785	DL551	2.66	1.608	1.686	21.055	RP4-669L17.10	0
2	chr1	11093	11785	DL166	0	1.389	0	18.878	RP4-669L17.10	0
2	chr1	11093	11785	DL3B538	0	0	0	0	RP4-669L17.10	0
2	chr1	11093	11785	DL191	0	2.125	0	0	RP4-669L17.10	0
2	chr1	11093	11785	DL140	0	0.954	1.572	8.658	RP4-669L17.8	0
2	chr1	11093	11785	DL237	1.38	2.169	1.333	16.352	RP4-669L17.10	0
2	chr1	11093	11785	DL188	0	0.824	1.387	11.324	RP4-669L17.8	0
2	chr1	11093	11785	DL273	0.99	0.877	0.844	3.672	RP4-669L17.10	0
2	chr1	11093	11785	DL3A193	0	0.522	0	0	RP4-669L17.8	0
2	chr1	11093	11785	DL3A538	0.99	0.408	1.862	14.398	RP4-669L17.10	0
2	chr1	11093	11785	DL252	1.25	1.280	0.479	5.203	RP4-669L17.8	0
2	chr1	11093	11785	DL487	0.74	0	0	0	RP4-669L17.10	0
2	chr1	11093	11785	DL397	0.88	1.221	0	0	RP4-669L17.8	0
2	chr1	11093	11785	DL135	0.85	1.221	0.792	6.749	RP4-669L17.8	0
2	chr1	11093	11785	DL551	2.66	1.608	1.686	21.055	RP4-669L17.8	0
2	chr1	11093	11785	DL166	0	1.389	0	18.878	RP4-669L17.8	0
2	chr1	11093	11785	DL191	0	2.125	0	0	RP4-669L17.8	0
2	chr1	11093	11785	DL3B538	0	0	0	0	RP4-669L17.8	0
2	chr1	11093	11785	DL237	1.38	2.169	1.333	16.352	RP4-669L17.8	0
2	chr1	11093	11785	DL140	0	0.954	1.572	8.658	CICP7	0
2	chr1	11093	11785	DL273	0.99	0.877	0.844	3.672	RP4-669L17.8	0
2	chr1	11093	11785	DL188	0	0.824	1.387	11.324	CICP7	0
2	chr1	11093	11785	DL3A538	0.99	0.408	1.862	14.398	RP4-669L17.8	0
2	chr1	11093	11785	DL3A193	0	0.522	0	0	CICP7	0
2	chr1	11093	11785	DL487	0.74	0	0	0	RP4-669L17.8	0
2	chr1	11093	11785	DL252	1.25	1.280	0.479	5.203	CICP7	0
2	chr1	11093	11785	DL135	0.85	1.221	0.792	6.749	CICP7	0
2	chr1	11093	11785	DL397	0.88	1.221	0	0	CICP7	0
2	chr1	11093	11785	DL551	2.66	1.608	1.686	21.055	CICP7	0
2	chr1	11093	11785	DL166	0	1.389	0	18.878	CICP7	0
2	chr1	11093	11785	DL3B538	0	0	0	0	CICP7	0
2	chr1	11093	11785	DL191	0	2.125	0	0	CICP7	0
2	chr1	11093	11785	DL140	0	0.954	1.572	8.658	RP4-669L17.4	0
2	chr1	11093	11785	DL237	1.38	2.169	1.333	16.352	CICP7	0
2	chr1	11093	11785	DL188	0	0.824	1.387	11.324	RP4-669L17.4	0
2	chr1	11093	11785	DL273	0.99	0.877	0.844	3.672	CICP7	0
2	chr1	11093	11785	DL3A538	0.99	0.408	1.862	14.398	CICP7	0
2	chr1	11093	11785	DL3A193	0	0.522	0	0	RP4-669L17.4	0
2	chr1	11093	11785	DL487	0.74	0	0	0	CICP7	0
2	chr1	11093	11785	DL252	1.25	1.280	0.479	5.203	RP4-669L17.4	0
2	chr1	11093	11785	DL397	0.88	1.221	0	0	RP4-669L17.4	0
2	chr1	11093	11785	DL135	0.85	1.221	0.792	6.749	RP4-669L17.4	0
2	chr1	11093	11785	DL166	0	1.389	0	18.878	RP4-669L17.4	0
2	chr1	11093	11785	DL551	2.66	1.608	1.686	21.055	RP4-669L17.4	0
2	chr1	11093	11785	DL191	0	2.125	0	0	RP4-669L17.4	0
2	chr1	11093	11785	DL3B538	0	0	0	0	RP4-669L17.4	0
2	chr1	11093	11785	DL140	0	0.954	1.572	8.658	OR4F29	0
2	chr1	11093	11785	DL237	1.38	2.169	1.333	16.352	RP4-669L17.4	0
2	chr1	11093	11785	DL188	0	0.824	1.387	11.324	OR4F29	0
2	chr1	11093	11785	DL273	0.99	0.877	0.844	3.672	RP4-669L17.4	0
2	chr1	11093	11785	DL3A193	0	0.522	0	0	OR4F29	0
2	chr1	11093	11785	DL3A538	0.99	0.408	1.862	14.398	RP4-669L17.4	0
2	chr1	11093	11785	DL252	1.25	1.280	0.479	5.203	OR4F29	0
2	chr1	11093	11785	DL487	0.74	0	0	0	RP4-669L17.4	0
2	chr1	11093	11785	DL397	0.88	1.221	0	0	OR4F29	0
2	chr1	11093	11785	DL135	0.85	1.221	0.792	6.749	OR4F29	0
2	chr1	11093	11785	DL551	2.66	1.608	1.686	21.055	OR4F29	0
2	chr1	11093	11785	DL166	0	1.389	0	18.878	OR4F29	0
2	chr1	11093	11785	DL3B538	0	0	0	0	OR4F29	0
2	chr1	11093	11785	DL191	0	2.125	0	0	OR4F29	0
2	chr1	11093	11785	DL140	0	0.954	1.572	8.658	WBP1LP7	0
2	chr1	11093	11785	DL237	1.38	2.169	1.333	16.352	OR4F29	0
2	chr1	11093	11785	DL273	0.99	0.877	0.844	3.672	OR4F29	0
