MMPID	CHR	START	STOP	SAMPLE_ID	FC_X	FC_H3	FC_K27	ABS_K4	GENE	FC_EXPRESSION
1	chr1	9942	10653	DL551	1.49	0.157	0.719	25.735	WASH7P	0.392
1	chr1	9942	10653	DL487	1.57	0	0	0	WASH7P	0
1	chr1	9942	10653	DL3B538	0	0	0	0	WASH7P	0.484
1	chr1	9942	10653	DL135	2.71	0.736	1.788	58.615	FAM138A	0.491
1	chr1	9942	10653	DL140	0	0.259	1.674	24.870	FAM138A	0
1	chr1	9942	10653	DL166	0	0.497	0	22.187	FAM138A	0.211
1	chr1	9942	10653	DL188	0	1.682	3.089	79.603	FAM138A	0
1	chr1	9942	10653	DL191	0	0.656	0	0	FAM138A	1.235
1	chr1	9942	10653	DL3A193	0	0.486	0	0	FAM138A	0.446
1	chr1	9942	10653	DL237	1.93	0.403	2.487	33.533	FAM138A	0.207
1	chr1	9942	10653	DL252	1.58	0.893	0.817	49.844	FAM138A	0.212
1	chr1	9942	10653	DL273	2.67	0.283	2.323	33.047	FAM138A	0
1	chr1	9942	10653	DL397	2.03	0.606	0	0	FAM138A	0.484
1	chr1	9942	10653	DL3A538	1.32	0.353	0.505	28.076	FAM138A	0
1	chr1	9942	10653	DL551	1.49	0.157	0.719	25.735	FAM138A	0.551
1	chr1	9942	10653	DL487	1.57	0	0	0	FAM138A	0
1	chr1	9942	10653	DL3B538	0	0	0	0	FAM138A	0.357
1	chr1	9942	10653	DL135	2.71	0.736	1.788	58.615	OR4G4P	0
1	chr1	9942	10653	DL140	0	0.259	1.674	24.870	OR4G4P	0
1	chr1	9942	10653	DL166	0	0.497	0	22.187	OR4G4P	0
1	chr1	9942	10653	DL188	0	1.682	3.089	79.603	OR4G4P	0
1	chr1	9942	10653	DL191	0	0.656	0	0	OR4G4P	0
1	chr1	9942	10653	DL3A193	0	0.486	0	0	OR4G4P	0
1	chr1	9942	10653	DL237	1.93	0.403	2.487	33.533	OR4G4P	0
1	chr1	9942	10653	DL252	1.58	0.893	0.817	49.844	OR4G4P	0
1	chr1	9942	10653	DL273	2.67	0.283	2.323	33.047	OR4G4P	0
1	chr1	9942	10653	DL397	2.03	0.606	0	0	OR4G4P	0
1	chr1	9942	10653	DL3A538	1.32	0.353	0.505	28.076	OR4G4P	0
1	chr1	9942	10653	DL551	1.49	0.157	0.719	25.735	OR4G4P	0
1	chr1	9942	10653	DL487	1.57	0	0	0	OR4G4P	0
1	chr1	9942	10653	DL3B538	0	0	0	0	OR4G4P	0
1	chr1	9942	10653	DL135	2.71	0.736	1.788	58.615	OR4G11P	0
1	chr1	9942	10653	DL140	0	0.259	1.674	24.870	OR4G11P	0
1	chr1	9942	10653	DL166	0	0.497	0	22.187	OR4G11P	0
1	chr1	9942	10653	DL188	0	1.682	3.089	79.603	OR4G11P	0
1	chr1	9942	10653	DL191	0	0.656	0	0	OR4G11P	0
1	chr1	9942	10653	DL3A193	0	0.486	0	0	OR4G11P	0
1	chr1	9942	10653	DL237	1.93	0.403	2.487	33.533	OR4G11P	0
1	chr1	9942	10653	DL252	1.58	0.893	0.817	49.844	OR4G11P	0
1	chr1	9942	10653	DL273	2.67	0.283	2.323	33.047	OR4G11P	0
1	chr1	9942	10653	DL397	2.03	0.606	0	0	OR4G11P	0
1	chr1	9942	10653	DL3A538	1.32	0.353	0.505	28.076	OR4G11P	0
1	chr1	9942	10653	DL551	1.49	0.157	0.719	25.735	OR4G11P	0
1	chr1	9942	10653	DL487	1.57	0	0	0	OR4G11P	0
1	chr1	9942	10653	DL3B538	0	0	0	0	OR4G11P	0
1	chr1	9942	10653	DL135	2.71	0.736	1.788	58.615	OR4F5	0
1	chr1	9942	10653	DL140	0	0.259	1.674	24.870	OR4F5	0
1	chr1	9942	10653	DL166	0	0.497	0	22.187	OR4F5	0
1	chr1	9942	10653	DL188	0	1.682	3.089	79.603	OR4F5	0
1	chr1	9942	10653	DL191	0	0.656	0	0	OR4F5	0
1	chr1	9942	10653	DL3A193	0	0.486	0	0	OR4F5	0
1	chr1	9942	10653	DL237	1.93	0.403	2.487	33.533	OR4F5	0
1	chr1	9942	10653	DL252	1.58	0.893	0.817	49.844	OR4F5	0
1	chr1	9942	10653	DL273	2.67	0.283	2.323	33.047	OR4F5	0
1	chr1	9942	10653	DL397	2.03	0.606	0	0	OR4F5	0
1	chr1	9942	10653	DL3A538	1.32	0.353	0.505	28.076	OR4F5	0
1	chr1	9942	10653	DL551	1.49	0.157	0.719	25.735	OR4F5	0
1	chr1	9942	10653	DL487	1.57	0	0	0	OR4F5	0
1	chr1	9942	10653	DL3B538	0	0	0	0	OR4F5	0
1	chr1	9942	10653	DL135	2.71	0.736	1.788	58.615	RP11-34P13.8	0
1	chr1	9942	10653	DL140	0	0.259	1.674	24.870	RP11-34P13.8	0
1	chr1	9942	10653	DL166	0	0.497	0	22.187	RP11-34P13.8	0
1	chr1	9942	10653	DL188	0	1.682	3.089	79.603	RP11-34P13.8	0
1	chr1	9942	10653	DL191	0	0.656	0	0	RP11-34P13.8	0
1	chr1	9942	10653	DL3A193	0	0.486	0	0	RP11-34P13.8	0
1	chr1	9942	10653	DL237	1.93	0.403	2.487	33.533	RP11-34P13.8	0
1	chr1	9942	10653	DL252	1.58	0.893	0.817	49.844	RP11-34P13.8	0
1	chr1	9942	10653	DL273	2.67	0.283	2.323	33.047	RP11-34P13.8	0
1	chr1	9942	10653	DL397	2.03	0.606	0	0	RP11-34P13.8	0
1	chr1	9942	10653	DL3A538	1.32	0.353	0.505	28.076	RP11-34P13.8	0
1	chr1	9942	10653	DL551	1.49	0.157	0.719	25.735	RP11-34P13.8	0
1	chr1	9942	10653	DL487	1.57	0	0	0	RP11-34P13.8	0
1	chr1	9942	10653	DL3B538	0	0	0	0	RP11-34P13.8	0
1	chr1	9942	10653	DL135	2.71	0.736	1.788	58.615	CICP27	0
1	chr1	9942	10653	DL140	0	0.259	1.674	24.870	CICP27	0
1	chr1	9942	10653	DL166	0	0.497	0	22.187	CICP27	0
1	chr1	9942	10653	DL188	0	1.682	3.089	79.603	CICP27	0
1	chr1	9942	10653	DL191	0	0.656	0	0	CICP27	0
1	chr1	9942	10653	DL3A193	0	0.486	0	0	CICP27	0
1	chr1	9942	10653	DL237	1.93	0.403	2.487	33.533	CICP27	0
1	chr1	9942	10653	DL252	1.58	0.893	0.817	49.844	CICP27	0
1	chr1	9942	10653	DL273	2.67	0.283	2.323	33.047	CICP27	0
1	chr1	9942	10653	DL397	2.03	0.606	0	0	CICP27	0
1	chr1	9942	10653	DL3A538	1.32	0.353	0.505	28.076	CICP27	0
1	chr1	9942	10653	DL551	1.49	0.157	0.719	25.735	CICP27	0
1	chr1	9942	10653	DL487	1.57	0	0	0	CICP27	0
1	chr1	9942	10653	DL3B538	0	0	0	0	CICP27	0
1	chr1	9942	10653	DL135	2.71	0.736	1.788	58.615	RP11-34P13.7	0
1	chr1	9942	10653	DL140	0	0.259	1.674	24.870	RP11-34P13.7	0
1	chr1	9942	10653	DL166	0	0.497	0	22.187	RP11-34P13.7	0
1	chr1	9942	10653	DL188	0	1.682	3.089	79.603	RP11-34P13.7	0
1	chr1	9942	10653	DL191	0	0.656	0	0	RP11-34P13.7	0
1	chr1	9942	10653	DL3A193	0	0.486	0	0	RP11-34P13.7	0
1	chr1	9942	10653	DL237	1.93	0.403	2.487	33.533	RP11-34P13.7	0
1	chr1	9942	10653	DL252	1.58	0.893	0.817	49.844	RP11-34P13.7	0
1	chr1	9942	10653	DL273	2.67	0.283	2.323	33.047	RP11-34P13.7	0
1	chr1	9942	10653	DL397	2.03	0.606	0	0	RP11-34P13.7	0
1	chr1	9942	10653	DL3A538	1.32	0.353	0.505	28.076	RP11-34P13.7	0
1	chr1	9942	10653	DL551	1.49	0.157	0.719	25.735	RP11-34P13.7	0
1	chr1	9942	10653	DL487	1.57	0	0	0	RP11-34P13.7	0
1	chr1	9942	10653	DL3B538	0	0	0	0	RP11-34P13.7	0
1	chr1	9942	10653	DL135	2.71	0.736	1.788	58.615	RP11-34P13.15	0
1	chr1	9942	10653	DL140	0	0.259	1.674	24.870	RP11-34P13.15	0
1	chr1	9942	10653	DL166	0	0.497	0	22.187	RP11-34P13.15	0
1	chr1	9942	10653	DL188	0	1.682	3.089	79.603	RP11-34P13.15	0
1	chr1	9942	10653	DL191	0	0.656	0	0	RP11-34P13.15	0
1	chr1	9942	10653	DL3A193	0	0.486	0	0	RP11-34P13.15	0
1	chr1	9942	10653	DL237	1.93	0.403	2.487	33.533	RP11-34P13.15	0
1	chr1	9942	10653	DL252	1.58	0.893	0.817	49.844	RP11-34P13.15	0
1	chr1	9942	10653	DL273	2.67	0.283	2.323	33.047	RP11-34P13.15	0
1	chr1	9942	10653	DL397	2.03	0.606	0	0	RP11-34P13.15	0
1	chr1	9942	10653	DL3A538	1.32	0.353	0.505	28.076	RP11-34P13.15	0
1	chr1	9942	10653	DL551	1.49	0.157	0.719	25.735	RP11-34P13.15	0
1	chr1	9942	10653	DL487	1.57	0	0	0	RP11-34P13.15	0
1	chr1	9942	10653	DL3B538	0	0	0	0	RP11-34P13.15	0
1	chr1	9942	10653	DL135	2.71	0.736	1.788	58.615	RP11-34P13.16	0
1	chr1	9942	10653	DL140	0	0.259	1.674	24.870	RP11-34P13.16	0
1	chr1	9942	10653	DL166	0	0.497	0	22.187	RP11-34P13.16	0
1	chr1	9942	10653	DL188	0	1.682	3.089	79.603	RP11-34P13.16	0
1	chr1	9942	10653	DL191	0	0.656	0	0	RP11-34P13.16	0
1	chr1	9942	10653	DL3A193	0	0.486	0	0	RP11-34P13.16	0
1	chr1	9942	10653	DL237	1.93	0.403	2.487	33.533	RP11-34P13.16	0
1	chr1	9942	10653	DL252	1.58	0.893	0.817	49.844	RP11-34P13.16	0
1	chr1	9942	10653	DL273	2.67	0.283	2.323	33.047	RP11-34P13.16	0
1	chr1	9942	10653	DL397	2.03	0.606	0	0	RP11-34P13.16	0
1	chr1	9942	10653	DL3A538	1.32	0.353	0.505	28.076	RP11-34P13.16	0
1	chr1	9942	10653	DL551	1.49	0.157	0.719	25.735	RP11-34P13.16	0
1	chr1	9942	10653	DL487	1.57	0	0	0	RP11-34P13.16	0
1	chr1	9942	10653	DL3B538	0	0	0	0	RP11-34P13.16	0
1	chr1	9942	10653	DL135	2.71	0.736	1.788	58.615	AL627309.1	0
1	chr1	9942	10653	DL140	0	0.259	1.674	24.870	AL627309.1	0
1	chr1	9942	10653	DL166	0	0.497	0	22.187	AL627309.1	0
1	chr1	9942	10653	DL188	0	1.682	3.089	79.603	AL627309.1	0
1	chr1	9942	10653	DL191	0	0.656	0	0	AL627309.1	0
1	chr1	9942	10653	DL3A193	0	0.486	0	0	AL627309.1	0
1	chr1	9942	10653	DL237	1.93	0.403	2.487	33.533	AL627309.1	0
1	chr1	9942	10653	DL252	1.58	0.893	0.817	49.844	AL627309.1	0
1	chr1	9942	10653	DL273	2.67	0.283	2.323	33.047	AL627309.1	0
1	chr1	9942	10653	DL397	2.03	0.606	0	0	AL627309.1	0
1	chr1	9942	10653	DL3A538	1.32	0.353	0.505	28.076	AL627309.1	0
1	chr1	9942	10653	DL551	1.49	0.157	0.719	25.735	AL627309.1	0
1	chr1	9942	10653	DL487	1.57	0	0	0	AL627309.1	0
1	chr1	9942	10653	DL3B538	0	0	0	0	AL627309.1	0
1	chr1	9942	10653	DL135	2.71	0.736	1.788	58.615	RP11-34P13.14	0
1	chr1	9942	10653	DL140	0	0.259	1.674	24.870	RP11-34P13.14	0
1	chr1	9942	10653	DL166	0	0.497	0	22.187	RP11-34P13.14	0
1	chr1	9942	10653	DL188	0	1.682	3.089	79.603	RP11-34P13.14	0
1	chr1	9942	10653	DL191	0	0.656	0	0	RP11-34P13.14	0
1	chr1	9942	10653	DL3A193	0	0.486	0	0	RP11-34P13.14	0
1	chr1	9942	10653	DL237	1.93	0.403	2.487	33.533	RP11-34P13.14	0
1	chr1	9942	10653	DL252	1.58	0.893	0.817	49.844	RP11-34P13.14	0
1	chr1	9942	10653	DL273	2.67	0.283	2.323	33.047	RP11-34P13.14	0
1	chr1	9942	10653	DL397	2.03	0.606	0	0	RP11-34P13.14	0
1	chr1	9942	10653	DL3A538	1.32	0.353	0.505	28.076	RP11-34P13.14	0
1	chr1	9942	10653	DL551	1.49	0.157	0.719	25.735	RP11-34P13.14	0
1	chr1	9942	10653	DL487	1.57	0	0	0	RP11-34P13.14	0
1	chr1	9942	10653	DL3B538	0	0	0	0	RP11-34P13.14	0
1	chr1	9942	10653	DL135	2.71	0.736	1.788	58.615	Y_RNA	0
1	chr1	9942	10653	DL140	0	0.259	1.674	24.870	Y_RNA	0
1	chr1	9942	10653	DL166	0	0.497	0	22.187	Y_RNA	0
1	chr1	9942	10653	DL188	0	1.682	3.089	79.603	Y_RNA	0
1	chr1	9942	10653	DL191	0	0.656	0	0	Y_RNA	0
1	chr1	9942	10653	DL3A193	0	0.486	0	0	Y_RNA	0
1	chr1	9942	10653	DL237	1.93	0.403	2.487	33.533	Y_RNA	0
1	chr1	9942	10653	DL252	1.58	0.893	0.817	49.844	Y_RNA	0
1	chr1	9942	10653	DL273	2.67	0.283	2.323	33.047	Y_RNA	0
1	chr1	9942	10653	DL397	2.03	0.606	0	0	Y_RNA	0
1	chr1	9942	10653	DL3A538	1.32	0.353	0.505	28.076	Y_RNA	0
1	chr1	9942	10653	DL551	1.49	0.157	0.719	25.735	Y_RNA	0
1	chr1	9942	10653	DL487	1.57	0	0	0	Y_RNA	0
1	chr1	9942	10653	DL3B538	0	0	0	0	Y_RNA	0
1	chr1	9942	10653	DL135	2.71	0.736	1.788	58.615	RNU6-1100P	0
1	chr1	9942	10653	DL140	0	0.259	1.674	24.870	RNU6-1100P	0
1	chr1	9942	10653	DL166	0	0.497	0	22.187	RNU6-1100P	0
1	chr1	9942	10653	DL188	0	1.682	3.089	79.603	RNU6-1100P	0
1	chr1	9942	10653	DL191	0	0.656	0	0	RNU6-1100P	0
1	chr1	9942	10653	DL3A193	0	0.486	0	0	RNU6-1100P	0
1	chr1	9942	10653	DL237	1.93	0.403	2.487	33.533	RNU6-1100P	0
1	chr1	9942	10653	DL252	1.58	0.893	0.817	49.844	RNU6-1100P	0
1	chr1	9942	10653	DL273	2.67	0.283	2.323	33.047	RNU6-1100P	0
1	chr1	9942	10653	DL397	2.03	0.606	0	0	RNU6-1100P	0
1	chr1	9942	10653	DL3A538	1.32	0.353	0.505	28.076	RNU6-1100P	0
1	chr1	9942	10653	DL551	1.49	0.157	0.719	25.735	RNU6-1100P	0
1	chr1	9942	10653	DL487	1.57	0	0	0	RNU6-1100P	0
1	chr1	9942	10653	DL3B538	0	0	0	0	RNU6-1100P	0
1	chr1	9942	10653	DL135	2.71	0.736	1.788	58.615	RP11-34P13.9	0
1	chr1	9942	10653	DL140	0	0.259	1.674	24.870	RP11-34P13.9	0
1	chr1	9942	10653	DL166	0	0.497	0	22.187	RP11-34P13.9	0
1	chr1	9942	10653	DL188	0	1.682	3.089	79.603	RP11-34P13.9	0
1	chr1	9942	10653	DL191	0	0.656	0	0	RP11-34P13.9	0
1	chr1	9942	10653	DL3A193	0	0.486	0	0	RP11-34P13.9	0
1	chr1	9942	10653	DL237	1.93	0.403	2.487	33.533	RP11-34P13.9	0
1	chr1	9942	10653	DL252	1.58	0.893	0.817	49.844	RP11-34P13.9	0
1	chr1	9942	10653	DL273	2.67	0.283	2.323	33.047	RP11-34P13.9	0
1	chr1	9942	10653	DL397	2.03	0.606	0	0	RP11-34P13.9	0
1	chr1	9942	10653	DL3A538	1.32	0.353	0.505	28.076	RP11-34P13.9	0
1	chr1	9942	10653	DL551	1.49	0.157	0.719	25.735	RP11-34P13.9	0
1	chr1	9942	10653	DL487	1.57	0	0	0	RP11-34P13.9	0
1	chr1	9942	10653	DL3B538	0	0	0	0	RP11-34P13.9	0
1	chr1	9942	10653	DL135	2.71	0.736	1.788	58.615	RP11-34P13.13	0
1	chr1	9942	10653	DL140	0	0.259	1.674	24.870	RP11-34P13.13	0
1	chr1	9942	10653	DL166	0	0.497	0	22.187	RP11-34P13.13	0
1	chr1	9942	10653	DL188	0	1.682	3.089	79.603	RP11-34P13.13	0
1	chr1	9942	10653	DL191	0	0.656	0	0	RP11-34P13.13	0
1	chr1	9942	10653	DL3A193	0	0.486	0	0	RP11-34P13.13	0
1	chr1	9942	10653	DL237	1.93	0.403	2.487	33.533	RP11-34P13.13	0
1	chr1	9942	10653	DL252	1.58	0.893	0.817	49.844	RP11-34P13.13	0
1	chr1	9942	10653	DL273	2.67	0.283	2.323	33.047	RP11-34P13.13	0
1	chr1	9942	10653	DL397	2.03	0.606	0	0	RP11-34P13.13	0
1	chr1	9942	10653	DL3A538	1.32	0.353	0.505	28.076	RP11-34P13.13	0
1	chr1	9942	10653	DL551	1.49	0.157	0.719	25.735	RP11-34P13.13	0
1	chr1	9942	10653	DL487	1.57	0	0	0	RP11-34P13.13	0
1	chr1	9942	10653	DL3B538	0	0	0	0	RP11-34P13.13	0
1	chr1	9942	10653	DL135	2.71	0.736	1.788	58.615	AP006222.1	0
1	chr1	9942	10653	DL140	0	0.259	1.674	24.870	AP006222.1	0
1	chr1	9942	10653	DL166	0	0.497	0	22.187	AP006222.1	0
1	chr1	9942	10653	DL188	0	1.682	3.089	79.603	AP006222.1	0
1	chr1	9942	10653	DL191	0	0.656	0	0	AP006222.1	0
1	chr1	9942	10653	DL3A193	0	0.486	0	0	AP006222.1	0
1	chr1	9942	10653	DL237	1.93	0.403	2.487	33.533	AP006222.1	0
1	chr1	9942	10653	DL252	1.58	0.893	0.817	49.844	AP006222.1	0
1	chr1	9942	10653	DL273	2.67	0.283	2.323	33.047	AP006222.1	0
1	chr1	9942	10653	DL397	2.03	0.606	0	0	AP006222.1	0
1	chr1	9942	10653	DL3A538	1.32	0.353	0.505	28.076	AP006222.1	0
1	chr1	9942	10653	DL551	1.49	0.157	0.719	25.735	AP006222.1	0
1	chr1	9942	10653	DL487	1.57	0	0	0	AP006222.1	0
1	chr1	9942	10653	DL3B538	0	0	0	0	AP006222.1	0
1	chr1	9942	10653	DL135	2.71	0.736	1.788	58.615	AP006222.2	0
1	chr1	9942	10653	DL140	0	0.259	1.674	24.870	AP006222.2	0
1	chr1	9942	10653	DL166	0	0.497	0	22.187	AP006222.2	0
1	chr1	9942	10653	DL188	0	1.682	3.089	79.603	AP006222.2	0
1	chr1	9942	10653	DL191	0	0.656	0	0	AP006222.2	0
1	chr1	9942	10653	DL3A193	0	0.486	0	0	AP006222.2	0
1	chr1	9942	10653	DL237	1.93	0.403	2.487	33.533	AP006222.2	0
1	chr1	9942	10653	DL252	1.58	0.893	0.817	49.844	AP006222.2	0
1	chr1	9942	10653	DL273	2.67	0.283	2.323	33.047	AP006222.2	0
1	chr1	9942	10653	DL397	2.03	0.606	0	0	AP006222.2	0
1	chr1	9942	10653	DL3A538	1.32	0.353	0.505	28.076	AP006222.2	0
1	chr1	9942	10653	DL551	1.49	0.157	0.719	25.735	AP006222.2	0
1	chr1	9942	10653	DL487	1.57	0	0	0	AP006222.2	0
1	chr1	9942	10653	DL3B538	0	0	0	0	AP006222.2	0
1	chr1	9942	10653	DL135	2.71	0.736	1.788	58.615	RP4-669L17.10	0
1	chr1	9942	10653	DL140	0	0.259	1.674	24.870	RP4-669L17.10	0
1	chr1	9942	10653	DL166	0	0.497	0	22.187	RP4-669L17.10	0
1	chr1	9942	10653	DL188	0	1.682	3.089	79.603	RP4-669L17.10	0
1	chr1	9942	10653	DL191	0	0.656	0	0	RP4-669L17.10	0
1	chr1	9942	10653	DL3A193	0	0.486	0	0	RP4-669L17.10	0
1	chr1	9942	10653	DL237	1.93	0.403	2.487	33.533	RP4-669L17.10	0
1	chr1	9942	10653	DL252	1.58	0.893	0.817	49.844	RP4-669L17.10	0
1	chr1	9942	10653	DL273	2.67	0.283	2.323	33.047	RP4-669L17.10	0
1	chr1	9942	10653	DL397	2.03	0.606	0	0	RP4-669L17.10	0
1	chr1	9942	10653	DL3A538	1.32	0.353	0.505	28.076	RP4-669L17.10	0
1	chr1	9942	10653	DL551	1.49	0.157	0.719	25.735	RP4-669L17.10	0
1	chr1	9942	10653	DL487	1.57	0	0	0	RP4-669L17.10	0
1	chr1	9942	10653	DL3B538	0	0	0	0	RP4-669L17.10	0
1	chr1	9942	10653	DL135	2.71	0.736	1.788	58.615	RP4-669L17.8	0
1	chr1	9942	10653	DL140	0	0.259	1.674	24.870	RP4-669L17.8	0
1	chr1	9942	10653	DL166	0	0.497	0	22.187	RP4-669L17.8	0
1	chr1	9942	10653	DL188	0	1.682	3.089	79.603	RP4-669L17.8	0
1	chr1	9942	10653	DL191	0	0.656	0	0	RP4-669L17.8	0
1	chr1	9942	10653	DL3A193	0	0.486	0	0	RP4-669L17.8	0
1	chr1	9942	10653	DL237	1.93	0.403	2.487	33.533	RP4-669L17.8	0
1	chr1	9942	10653	DL252	1.58	0.893	0.817	49.844	RP4-669L17.8	0
1	chr1	9942	10653	DL273	2.67	0.283	2.323	33.047	RP4-669L17.8	0
1	chr1	9942	10653	DL397	2.03	0.606	0	0	RP4-669L17.8	0
1	chr1	9942	10653	DL3A538	1.32	0.353	0.505	28.076	RP4-669L17.8	0
1	chr1	9942	10653	DL551	1.49	0.157	0.719	25.735	RP4-669L17.8	0
1	chr1	9942	10653	DL487	1.57	0	0	0	RP4-669L17.8	0
1	chr1	9942	10653	DL3B538	0	0	0	0	RP4-669L17.8	0
1	chr1	9942	10653	DL135	2.71	0.736	1.788	58.615	CICP7	0
1	chr1	9942	10653	DL140	0	0.259	1.674	24.870	CICP7	0
1	chr1	9942	10653	DL166	0	0.497	0	22.187	CICP7	0
1	chr1	9942	10653	DL188	0	1.682	3.089	79.603	CICP7	0
1	chr1	9942	10653	DL191	0	0.656	0	0	CICP7	0
1	chr1	9942	10653	DL3A193	0	0.486	0	0	CICP7	0
1	chr1	9942	10653	DL237	1.93	0.403	2.487	33.533	CICP7	0
1	chr1	9942	10653	DL252	1.58	0.893	0.817	49.844	CICP7	0
1	chr1	9942	10653	DL273	2.67	0.283	2.323	33.047	CICP7	0
1	chr1	9942	10653	DL397	2.03	0.606	0	0	CICP7	0
1	chr1	9942	10653	DL3A538	1.32	0.353	0.505	28.076	CICP7	0
1	chr1	9942	10653	DL551	1.49	0.157	0.719	25.735	CICP7	0
1	chr1	9942	10653	DL487	1.57	0	0	0	CICP7	0
1	chr1	9942	10653	DL3B538	0	0	0	0	CICP7	0
1	chr1	9942	10653	DL135	2.71	0.736	1.788	58.615	RP4-669L17.4	0
1	chr1	9942	10653	DL140	0	0.259	1.674	24.870	RP4-669L17.4	0
1	chr1	9942	10653	DL166	0	0.497	0	22.187	RP4-669L17.4	0
1	chr1	9942	10653	DL188	0	1.682	3.089	79.603	RP4-669L17.4	0
1	chr1	9942	10653	DL191	0	0.656	0	0	RP4-669L17.4	0
1	chr1	9942	10653	DL3A193	0	0.486	0	0	RP4-669L17.4	0
1	chr1	9942	10653	DL237	1.93	0.403	2.487	33.533	RP4-669L17.4	0
1	chr1	9942	10653	DL252	1.58	0.893	0.817	49.844	RP4-669L17.4	0
1	chr1	9942	10653	DL273	2.67	0.283	2.323	33.047	RP4-669L17.4	0
1	chr1	9942	10653	DL397	2.03	0.606	0	0	RP4-669L17.4	0
1	chr1	9942	10653	DL3A538	1.32	0.353	0.505	28.076	RP4-669L17.4	0
1	chr1	9942	10653	DL551	1.49	0.157	0.719	25.735	RP4-669L17.4	0
1	chr1	9942	10653	DL487	1.57	0	0	0	RP4-669L17.4	0
1	chr1	9942	10653	DL3B538	0	0	0	0	RP4-669L17.4	0
1	chr1	9942	10653	DL135	2.71	0.736	1.788	58.615	OR4F29	0
1	chr1	9942	10653	DL140	0	0.259	1.674	24.870	OR4F29	0
1	chr1	9942	10653	DL166	0	0.497	0	22.187	OR4F29	0
1	chr1	9942	10653	DL188	0	1.682	3.089	79.603	OR4F29	0
1	chr1	9942	10653	DL191	0	0.656	0	0	OR4F29	0
1	chr1	9942	10653	DL3A193	0	0.486	0	0	OR4F29	0
1	chr1	9942	10653	DL237	1.93	0.403	2.487	33.533	OR4F29	0
1	chr1	9942	10653	DL252	1.58	0.893	0.817	49.844	OR4F29	0
1	chr1	9942	10653	DL273	2.67	0.283	2.323	33.047	OR4F29	0
1	chr1	9942	10653	DL397	2.03	0.606	0	0	OR4F29	0
1	chr1	9942	10653	DL3A538	1.32	0.353	0.505	28.076	OR4F29	0
1	chr1	9942	10653	DL551	1.49	0.157	0.719	25.735	OR4F29	0
